"bat_style","bowl_style","field_style","awards","importance","wickets","bowling_average","economy_rate","runs","batting_average","strike_rate","fours","sixes"
"right-hand bat","right-arm medium","","37","1.028423772609819","","","","12886","41.43","134.2","1144","416"
"right-hand bat","right-arm medium","wicketkeeper","42","1.0553846153846154","","","","9424","37.24","150.13","753","436"
"left-hand bat","right-arm offbreak","wicketkeeper","15","1.4","","","","3936","31.48","148.47","358","188"
"right-hand bat","legbreak","","0","1.032258064516129","","","","1188","22.41","128.29","116","33"
"right-hand bat","","wicketkeeper","17","1.0604651162790697","","","","7586","41.91","135.85","643","311"
"left-hand bat","right-arm offbreak","","0","1.2808988764044944","","","","2026","29.79","131.98","169","64"
"right-hand bat","right-arm medium","","0","1.3629032258064515","73","25.87","7.58","1641","20.01","126.13","118","64"
"left-hand bat","right-arm offbreak","","60","0.9358974358974359","83","31.54","7.62","14562","36.22","144.75","1132","1056"
"left-hand bat","slow left-arm orthodox","","2","1.1134020618556701","86","27.33","6.86","426","17.04","99.3","38","9"
"right-hand bat","right-arm offbreak","","3","0.9457831325301205","6","20.83","7.81","2592","24.45","129.53","233","86"
"right-hand bat","right-arm offbreak","","2","1.6153846153846154","13","18.84","6.28","155","14.09","128.09","14","5"
"right-hand bat","right-arm offbreak","","0","0.5842696629213483","60","27.75","6.49","840","19.53","105.66","68","22"
"right-hand bat","right-arm fast-medium","","38","1.1560509554140128","216","27.02","7.9","8821","29.3","138.3","785","467"
"right-hand bat","right-arm medium-fast","","19","1.1327683615819208","","8.23","18.8","4453","23.19","144.81","296","244"
"right-hand bat","right-arm fast","","2","0.9081632653061225","93","29.36","8.53","","","","",""
"right-hand bat","right-arm medium-fast","","0","1.0649350649350648","78","24.55","7.53","","","","",""
"left-hand bat","left-arm medium-fast","","1","0.9418604651162791","103","21.77","7.85","","","","",""
"right-hand bat","legbreak googly","","12","1.05","364","23.42","7.64","","","","",""
"right-hand bat","legbreak googly","","0","1.04","24","21.66","7.17","","","","",""
"right-hand bat","right-arm fast-medium","","9","1.0798898071625345","","8.61","18.8","","","","",""
"left-hand bat","right-arm offbreak, slow left-arm orthodox","","0","1.2857142857142858","62","22.19","6.5","","","","",""
"right-hand bat","right-arm medium","","1","0.9069767441860465","44","23.0","7.34","","","","",""
"right-hand bat","right-arm medium","","5","1.1135135135135135","244","23.14","8.34","","","","",""
"right-hand bat","right-arm fast-medium","","9","1.0923913043478262","","8.17","17.2","","","","",""
"right-hand bat","left-arm wrist-spin","","17","0.9278350515463918","","7.41","18.1","","","","",""
"right-hand bat","right-arm medium","","0","1.2","16","24.81","8.24","","","","",""
